country,onset,type,max_risk,threshold,detected
Nicaragua,2007,backsliding,0.20573220297291983,0.07123819499558748,True
Nicaragua,2007,backsliding,0.20573220297291983,0.07833103472904439,True
Nicaragua,2007,backsliding,0.20573220297291983,0.0854238744625013,True
Nicaragua,2007,backsliding,0.20573220297291983,0.0925167141959582,True
Nicaragua,2007,backsliding,0.20573220297291983,0.0996095539294151,True
Nicaragua,2007,backsliding,0.20573220297291983,0.10670239366287201,True
Nicaragua,2007,backsliding,0.20573220297291983,0.11379523339632891,True
Nicaragua,2007,backsliding,0.20573220297291983,0.12088807312978582,True
Nicaragua,2007,backsliding,0.20573220297291983,0.12798091286324273,True
Nicaragua,2007,backsliding,0.20573220297291983,0.13507375259669965,True
Nicaragua,2007,backsliding,0.20573220297291983,0.14216659233015655,True
Nicaragua,2007,backsliding,0.20573220297291983,0.14925943206361345,True
Philippines,2016,backsliding,0.4157465897199347,0.01449547712793223,True
Philippines,2016,backsliding,0.4157465897199347,0.021588316861389137,True
Philippines,2016,backsliding,0.4157465897199347,0.028681156594846043,True
Philippines,2016,backsliding,0.4157465897199347,0.03577399632830295,True
Philippines,2016,backsliding,0.4157465897199347,0.04286683606175985,True
Philippines,2016,backsliding,0.4157465897199347,0.04995967579521676,True
Philippines,2016,backsliding,0.4157465897199347,0.05705251552867367,True
Philippines,2016,backsliding,0.4157465897199347,0.06414535526213057,True
Philippines,2016,backsliding,0.4157465897199347,0.07123819499558748,True
Philippines,2016,backsliding,0.4157465897199347,0.07833103472904439,True
Philippines,2016,backsliding,0.4157465897199347,0.0854238744625013,True
Philippines,2016,backsliding,0.4157465897199347,0.0925167141959582,True
Philippines,2016,backsliding,0.4157465897199347,0.0996095539294151,True
Philippines,2016,backsliding,0.4157465897199347,0.10670239366287201,True
Philippines,2016,backsliding,0.4157465897199347,0.11379523339632891,True
Philippines,2016,backsliding,0.4157465897199347,0.12088807312978582,True
Philippines,2016,backsliding,0.4157465897199347,0.12798091286324273,True
Philippines,2016,backsliding,0.4157465897199347,0.13507375259669965,True
Philippines,2016,backsliding,0.4157465897199347,0.14216659233015655,True
Philippines,2016,backsliding,0.4157465897199347,0.14925943206361345,True
India,2014,backsliding,0.263324110042036,0.01449547712793223,True
India,2014,backsliding,0.263324110042036,0.021588316861389137,True
India,2014,backsliding,0.263324110042036,0.028681156594846043,True
India,2014,backsliding,0.263324110042036,0.03577399632830295,True
India,2014,backsliding,0.263324110042036,0.04286683606175985,True
India,2014,backsliding,0.263324110042036,0.04995967579521676,True
India,2014,backsliding,0.263324110042036,0.05705251552867367,True
India,2014,backsliding,0.263324110042036,0.06414535526213057,True
India,2014,backsliding,0.263324110042036,0.07123819499558748,True
India,2014,backsliding,0.263324110042036,0.07833103472904439,True
India,2014,backsliding,0.263324110042036,0.0854238744625013,True
India,2014,backsliding,0.263324110042036,0.0925167141959582,True
India,2014,backsliding,0.263324110042036,0.0996095539294151,True
India,2014,backsliding,0.263324110042036,0.10670239366287201,True
India,2014,backsliding,0.263324110042036,0.11379523339632891,True
India,2014,backsliding,0.263324110042036,0.12088807312978582,True
India,2014,backsliding,0.263324110042036,0.12798091286324273,True
India,2014,backsliding,0.263324110042036,0.13507375259669965,True
India,2014,backsliding,0.263324110042036,0.14216659233015655,True
India,2014,backsliding,0.263324110042036,0.14925943206361345,True
Brazil,2019,backsliding,0.43090281144378006,0.01449547712793223,True
Brazil,2019,backsliding,0.43090281144378006,0.021588316861389137,True
Brazil,2019,backsliding,0.43090281144378006,0.028681156594846043,True
Brazil,2019,backsliding,0.43090281144378006,0.03577399632830295,True
Brazil,2019,backsliding,0.43090281144378006,0.04286683606175985,True
Brazil,2019,backsliding,0.43090281144378006,0.04995967579521676,True
Brazil,2019,backsliding,0.43090281144378006,0.05705251552867367,True
Brazil,2019,backsliding,0.43090281144378006,0.06414535526213057,True
Brazil,2019,backsliding,0.43090281144378006,0.07123819499558748,True
Brazil,2019,backsliding,0.43090281144378006,0.07833103472904439,True
Brazil,2019,backsliding,0.43090281144378006,0.0854238744625013,True
Brazil,2019,backsliding,0.43090281144378006,0.0925167141959582,True
Brazil,2019,backsliding,0.43090281144378006,0.0996095539294151,True
Brazil,2019,backsliding,0.43090281144378006,0.10670239366287201,True
Brazil,2019,backsliding,0.43090281144378006,0.11379523339632891,True
Brazil,2019,backsliding,0.43090281144378006,0.12088807312978582,True
Brazil,2019,backsliding,0.43090281144378006,0.12798091286324273,True
Brazil,2019,backsliding,0.43090281144378006,0.13507375259669965,True
Brazil,2019,backsliding,0.43090281144378006,0.14216659233015655,True
Brazil,2019,backsliding,0.43090281144378006,0.14925943206361345,True
Russia,2000,backsliding,0.015937535025364925,0.01449547712793223,True
Russia,2000,backsliding,0.015937535025364925,0.021588316861389137,False
Russia,2000,backsliding,0.015937535025364925,0.028681156594846043,False
Russia,2000,backsliding,0.015937535025364925,0.03577399632830295,False
Russia,2000,backsliding,0.015937535025364925,0.04286683606175985,False
Russia,2000,backsliding,0.015937535025364925,0.04995967579521676,False
Russia,2000,backsliding,0.015937535025364925,0.05705251552867367,False
Russia,2000,backsliding,0.015937535025364925,0.06414535526213057,False
Russia,2000,backsliding,0.015937535025364925,0.07123819499558748,False
Russia,2000,backsliding,0.015937535025364925,0.07833103472904439,False
Russia,2000,backsliding,0.015937535025364925,0.0854238744625013,False
