country_name,country_text_id,year,risk_score,csd_index,polyarchy_at_alert,polyarchy_change_5yr,fp_type,is_stable_democracy,region_code
Paraguay,PRY,2006,0.04121533892609645,1.9891730907357705,0.595,0.0,true_fp,False,PR
Paraguay,PRY,2007,0.08541835186871993,2.809154226142122,0.595,0.0,true_fp,False,PR
Paraguay,PRY,2008,0.07961508561081199,4.615033627549079,0.62,-0.03500000000000003,true_fp,False,PR
Paraguay,PRY,2009,0.03165473539956997,3.653574488646617,0.631,-0.04600000000000004,true_fp,False,PR
Paraguay,PRY,2010,0.03033458615000994,3.7775267036262115,0.639,-0.05400000000000005,near_miss,False,PR
Paraguay,PRY,2011,0.0586393455687303,4.851330444170192,0.63,-0.04500000000000004,true_fp,False,PR
Paraguay,PRY,2012,0.05007932959234154,4.321092583781629,0.608,-0.02300000000000002,true_fp,False,PR
Paraguay,PRY,2014,0.03310175481629277,4.697391538317176,0.595,-0.01200000000000001,true_fp,False,PR
Paraguay,PRY,2023,0.032669068735683295,4.1462582008539055,0.576,0.0,true_fp,False,PR
Philippines,PHL,2010,0.055626384232054946,4.318474547432908,0.506,0.0,true_fp,False,PH
Philippines,PHL,2017,0.07908242840089341,4.8267500729776724,0.469,-0.06399999999999995,near_miss,False,PH
Poland,POL,2003,0.03654918894712547,1.1036085755532714,0.882,-0.008000000000000007,true_fp,False,PO
Poland,POL,2004,0.036805493452838595,1.6028462440758056,0.882,-0.008000000000000007,true_fp,False,PO
Poland,POL,2022,0.03323634242877316,4.627756212869665,0.578,0.0,true_fp,False,PO
Russia,RUS,2016,0.03478870808136377,4.836488865736443,0.263,-0.018000000000000016,true_fp,False,RU
Senegal,SEN,2016,0.03817765715982342,3.3916753566490465,0.726,-0.038000000000000034,true_fp,False,SE
Senegal,SEN,2018,0.03467870636616997,2.8797624645913666,0.688,-0.06299999999999994,near_miss,False,SE
Serbia,SRB,2006,0.12572660888756115,3.867846313786481,0.633,-0.026000000000000023,true_fp,False,SR
Serbia,SRB,2013,0.07896434886874752,5.128280869264633,0.502,-0.14800000000000002,near_miss,False,SR
Serbia,SRB,2014,0.03921820851612614,4.385794550548903,0.44,-0.08600000000000002,near_miss,False,SR
Spain,ESP,2000,0.04859201417813512,1.4588341979634107,0.893,-0.018000000000000016,stable_democracy_fp,True,ES
Spain,ESP,2004,0.08535751125958611,1.4142903577508297,0.875,0.0,stable_democracy_fp,True,ES
Spain,ESP,2008,0.08034822663461845,3.909835279923113,0.886,-0.01100000000000001,stable_democracy_fp,True,ES
Sri Lanka,LKA,2009,0.03841590808404739,3.9517712729936667,0.366,0.0,true_fp,False,LK
Sri Lanka,LKA,2010,0.1609347516637273,3.7218512687488285,0.386,-0.0020000000000000018,true_fp,False,LK
Sri Lanka,LKA,2011,0.11833821275047114,3.178593117519833,0.384,0.0,true_fp,False,LK
Sri Lanka,LKA,2012,0.04466355006109703,3.1764976318320652,0.39,0.0,true_fp,False,LK
Sri Lanka,LKA,2014,0.07606785355878874,3.4704481355102184,0.417,0.0,true_fp,False,LK
Sri Lanka,LKA,2016,0.035226933029727146,3.6467052107040816,0.595,-0.031000000000000028,true_fp,False,LK
Sri Lanka,LKA,2019,0.07652208521729621,4.358971159169613,0.564,0.0,true_fp,False,LK
Sri Lanka,LKA,2020,0.04166664288290004,5.388365250501317,0.579,-0.007000000000000006,true_fp,False,LK
Sri Lanka,LKA,2023,0.05787126173014263,3.8740840339425455,0.585,0.0,true_fp,False,LK
Sri Lanka,LKA,2024,0.19172376952538928,4.506562388250284,0.677,0.0,true_fp,False,LK
Sri Lanka,LKA,2025,0.05401905265612533,5.17213856735787,0.783,0.0,true_fp,False,LK
Sweden,SWE,2002,0.039390589806961085,1.3525315468374541,0.91,0.0,stable_democracy_fp,True,SW
Sweden,SWE,2006,0.037666219793073455,1.7696730238000302,0.912,0.0,stable_democracy_fp,True,SW
Sweden,SWE,2010,0.03318222722678915,3.2906669593672455,0.914,0.0,stable_democracy_fp,True,SW
