country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_full_4,nscm_resid_domestic_4
SWZ,1990,-1.1950311e-05,-3.313545e-06,-0.001430909,-0.0007980379,-0.001837816,-0.0048837103,-0.21477692,-0.17983338,0.21805757,0.18551844
SYC,1990,-7.884349e-05,-0.0007210508,-0.0048477342,-0.0115129845,-0.0853006,-0.16434497,-0.49422634,-0.13955885,0.58445346,0.31613785
SYR,1990,-2.3854227e-06,-2.432697e-07,-0.00039434532,-0.0004405031,-0.0016556226,-0.005415454,-0.17626524,-0.14721139,0.1783176,0.15306759
TCD,1990,-2.2689865e-06,-3.735815e-07,-0.00096774136,-0.00054395257,-0.00055095874,-0.002699363,0.35294336,0.49249715,-0.35142237,-0.4892535
TGO,1990,-9.1817155e-06,-4.426279e-06,-0.0011502424,-0.0015858273,-0.010204829,-0.04688742,0.53933156,0.69753283,-0.52796733,-0.6490552
THA,1990,-0.0005384277,-0.005619909,-0.006530296,-0.00483116,0.44700414,0.5011098,-0.38793325,-0.31807974,-0.052002188,-0.17257896
TJK,1990,-0.00068503735,-0.008658749,-0.028452337,-0.05000199,-0.39213136,-0.38683185,-0.30799967,-0.27029228,-0.2707316,-0.2842151
TKM,1990,-0.00075399113,-0.009060986,-0.031630762,-0.0514945,-0.39341468,-0.38011387,-0.29544166,-0.27448377,-0.27875894,-0.2848469
TTO,1990,0.14936268,0.24631524,-0.017861282,-0.009771569,-0.11182952,-0.22142191,-0.019254722,-0.010104116,-0.00041709802,-0.0050176904
TUN,1990,-7.506684e-05,-6.517544e-05,-0.0022189338,-0.0037903748,-0.1089738,-0.22631992,-0.14785115,-0.16999738,0.25911897,0.4001729
TUR,1990,-0.0012144109,-0.028077228,-0.011647196,-0.026663592,0.4956774,0.34168714,-0.43122384,-0.1428109,-0.051591933,-0.14413549
TWN,1990,-0.017559059,-0.067115486,-0.033794463,-0.044194847,-0.7884257,-0.52087593,0.8591233,0.7995287,-0.019344082,-0.16734248
TZA,1990,-0.00055042095,-0.007441186,-0.00960317,-0.022918489,-0.26567906,-0.30643874,0.3756702,0.5872996,-0.099837504,-0.25050113
UGA,1990,-0.0001710848,-0.0013339131,-0.003861597,-0.0031920215,-0.26499006,-0.39287964,0.39115924,0.65819585,-0.122136496,-0.26079026
UKR,1990,-0.00023780824,-0.005226811,-0.015583383,-0.045487672,-0.2525566,-0.41268003,-0.57298756,-0.2946622,-0.15863459,-0.24194336
URY,1990,-0.0020742293,-0.00070962316,0.008073568,0.013324082,-0.00021597503,-8.7565655e-05,-0.0048749927,-0.011230354,-0.0009083446,-0.0012965967
USA,1990,-0.5269169,-0.58906525,0.5781213,0.64563006,-0.034149107,-0.04758812,-0.016687552,-0.0056665977,-0.00036777722,-0.0033101018
UZB,1990,-0.0005046675,-0.00749939,-0.0246541,-0.046016276,-0.3624046,-0.41020674,-0.30117524,-0.25593582,-0.31126133,-0.28034183
VEN,1990,-0.0265217,-0.08303386,-0.019309385,-0.019641334,0.10074735,0.12775892,-0.053103026,-0.017344687,-0.001813178,-0.007738986
VNM,1990,-7.239762e-05,-0.0004674261,-0.0019607618,-0.004956731,-0.029089814,-0.038950443,0.64408934,0.8089658,-0.61296636,-0.7645913
YEM,1990,-1.5007265e-05,-1.00083535e-05,-0.0015199105,-0.0004630136,-0.0028930327,-0.007439876,0.3228643,0.5100851,-0.31843632,-0.5021723
ZAF,1990,-2.0677237e-05,-8.503267e-05,-0.0025851282,-0.0018646965,-0.0072948956,-0.026819166,0.1647197,0.47867316,-0.15481904,-0.4499042
ZMB,1990,-0.00013218075,-0.00081884535,-0.0053734863,-0.010730526,-0.105451055,-0.16445206,0.35341835,0.6271664,-0.24246173,-0.451165
ZWE,1990,-0.00026256996,-0.000964922,-0.0034065077,-0.0048229243,-0.49640653,-0.6111249,0.58925724,0.81834316,-0.089181624,-0.20143045
AFG,1991,-2.4766764e-06,-6.555696e-07,-0.0005576201,-0.00019767342,-0.0006124563,-0.0020312765,-0.5378008,-0.31696823,0.5389734,0.31919777
ALB,1991,-0.00014111576,-0.0013067136,-0.0033880686,-0.006442619,-0.023633366,-0.024572538,0.031117499,0.049322426,-0.0039549405,-0.017000513
ARE,1991,-1.2648969e-05,-4.200066e-06,-0.002573415,-0.00529713,-5.884384e-05,-5.3617125e-05,-0.21030092,-0.1893023,0.21294576,0.19465727
ARG,1991,-0.06486979,-0.19149746,-0.03797949,-0.03206155,0.16187412,0.2426036,-0.057571676,-0.01353144,-0.0014531458,-0.005513171
ARM,1991,-0.0010412558,-0.026025172,-0.017022535,-0.06435594,-0.63174367,-0.61367065,0.7191974,0.8485867,-0.069389984,-0.14453493
AUS,1991,0.24167442,0.18286747,-0.23494016,-0.15442437,-0.0042246315,-0.018584508,-0.002341704,-0.0045428877,-0.0001678737,-0.0053156554
AZE,1991,-3.0410212e-05,-9.566435e-05,-0.0026605797,-0.004948483,-0.030165654,-0.05292912,0.27891678,0.59328866,-0.2460602,-0.53531533
BDI,1991,-7.89182e-06,-3.1708648e-06,-0.0026091186,-0.0025756687,-0.00026431048,-0.00040805872,0.42612082,0.61945367,-0.42323956,-0.6164668
BEL,1991,0.038742244,0.053937554,-0.030833945,-0.028998611,-0.004916383,-0.021802496,-0.0029149826,-0.0019121458,-7.694978e-05,-0.001224305
BEN,1991,-0.0015877525,-0.016278177,-0.018860549,-0.05203379,-0.5158243,-0.64110816,0.5434693,0.73177207,-0.0071967123,-0.022351997
BFA,1991,-0.000119782715,-0.0002721779,-0.017689073,-0.026954364,-0.025007535,-0.09236103,0.25438857,0.4810543,-0.21157224,-0.36146665
BGD,1991,-0.00032019377,-0.002350399,-0.0011617299,-0.0008063163,-0.85945857,-0.9112375,0.8708576,0.9361478,-0.009917103,-0.021753587
BGR,1991,-0.36142078,-0.624858,-0.047917828,-0.073073216,0.76848435,0.72610927,-0.35772198,-0.016842082,-0.0014238039,-0.011336053
BHR,1991,-4.6338528e-06,-3.7440833e-07,-0.0011900249,-0.0007954073,-6.441225e-05,-9.516542e-05,-0.31160766,-0.24432373,0.31286675,0.2452147
