indicator,factor_1,factor_2,factor_3,factor_4
v2peasbegeo,0.4825075853481848,0.6759508140239487,0.11044298889003995,0.05930094515417476
v2clpolcl,0.8520000690518902,0.2517625016661327,0.008703379821349827,0.05701448389669235
v2peapspol,0.6503334853220509,0.46159412361975743,0.10223301589821938,0.16636506083759842
v2peasjpol,0.7003675114991909,0.4698449933312269,0.02045685925481916,0.08816898771578
v2peasbepol,0.6473074611773927,0.5704226094432157,-0.0047630209098245835,0.0792871080458904
v2peapssoc,0.4853265647598799,0.7029789939474642,0.16228024878696706,0.05979310317739405
v2peasjsoc,0.5991660795889282,0.5222814111275934,0.1740033481604448,0.12555176584790054
v2peasbsoc,0.6162350559622556,0.5681057112368156,0.10444314844904239,0.13815571486874134
v2exl_legitideol,-0.6864998460849473,-0.015115632629236514,0.12392507756405809,-0.15221054130990608
v2exl_legitlead,-0.6694359672197268,-0.2448169260918902,0.16315317992567213,-0.03146265389029661
v2exl_legitperf,0.18959036667331572,0.2869098742480224,0.3627632047345831,0.062415847080638714
v2exl_legitratio,0.5860742778851228,0.22072352031375242,0.228487197488487,0.06630712382025768
v2cacamps,-0.3807673866984856,-0.39784600769495126,0.05371893562377941,-0.04961514420378172
v2caviol,-0.18389529217111356,-0.6220434998325136,-0.15400910048203756,-0.06787243687089381
v2caassemb,0.9044012655029757,0.21095555591303078,0.025486104059667915,-0.0013549493389315784
v2cagenmob,0.22132637367919794,-0.31908980723780206,0.1308577595664398,0.03642114093143298
v2caconmob,-0.2267657206226274,0.029237314750572355,-0.1530097303632219,0.030054624445479267
v2cademmob,0.2473607350520762,-0.5020646292385554,0.14124790347991067,-0.013877129385115754
v2caautmob,-0.6397982699617311,-0.2539182137743342,0.12161322759360525,0.013306377160119863
v2castate,-0.6057554474708913,-0.22763635734579465,0.25720507495994316,-0.11252261983790188
v2catrauni,0.7033241053320912,0.04098210532116847,-0.03577880275528758,-0.0863022653540699
v2capolit,0.7232308397729372,-0.02737152076331989,0.037979715221480054,0.0070976157105590715
v2canonpol,0.5914403698980905,0.06598305597358534,-0.048611783027507925,0.05862239454630287
v2cauni,0.16447264348089363,-0.004784241778372875,0.13644828496126732,-0.0025964589558579373
v2caprotac,-0.1146174432405459,-0.08920569110140347,-0.2971838061500915,0.05272013955550246
v2cafres,0.9002653169058699,0.11108607074560425,0.03130214142776566,0.01687945056375543
v2cafexch,0.8891647862513138,0.11601292373778896,0.017641085849492682,0.039816564795284705
v2cainsaut,0.8585477124485292,0.04595684890830537,-0.009907535083217497,0.0182528029201329
v2casurv,0.8572455826417885,0.26280247896984926,0.025572016341272513,0.016202217429310654
v2cacritic,0.8626247681585344,-0.0046776920529684185,0.03551731900974356,0.044416263926427044
v2caacadfree,0.35668441440511045,0.025234258424735423,0.4231867767221542,0.09420029418435594
v2x_regime,0.8246969545423638,0.34149894695859945,0.13360979302761467,0.047085268130670675
v2x_regime_amb,0.838006598879685,0.350453997100939,0.13773116343338496,0.04546221660024502
v2x_accountability,0.9605021412841401,0.2278611285319135,0.06127389404443497,-0.005325830852447146
v2x_veracc,0.8442496748604696,0.2921544683561218,0.2551040048931159,-0.016192605991295572
v2x_diagacc,0.972181868285796,0.13341640735759075,0.04368942332538184,0.017462034660592166
v2x_horacc,0.8533905418744758,0.33677761158571223,-0.0426317648515169,-0.05607670045030442
v2x_ex_hereditary,-0.2019868753170943,0.03186377624834506,-0.23128716144098255,-0.0684028075043937
v2x_ex_military,-0.3163938511837806,-0.4291920779987162,-0.32197729287104676,0.11733212017081644
v2x_ex_party,-0.4070582622505857,0.2968824476075985,0.13234157741512365,-0.2956855492756635
v2x_ex_direlect,-0.011857895493348813,-0.43205509173647455,0.4650447083310692,0.3589894750873671
v2x_ex_confidence,0.5758826015064953,0.3161708177491531,-0.06860783128493628,-0.3397921390923263
v2xnp_regcorr,-0.4753919324284046,-0.7244693999063043,0.21877100040828057,0.04932453252070851
v2x_neopat,-0.7867238873396438,-0.5233758100736463,0.10153605018394621,0.0516169575161798
v2xnp_pres,-0.8665398591661803,-0.33453020623868746,0.030187002177995283,0.06758345016908297
v2xnp_client,-0.4206900349226187,-0.7532502159374977,0.02771343912410744,0.030903805828612737
v2x_civlib,0.9298739445090763,0.22570959390808099,0.13140565605226737,0.004215361340029099
v2x_clpriv,0.8883290711912792,0.1421943966162484,0.177288813762215,0.05001062998376102
v2x_clpol,0.9641675883543207,0.10822816346914577,0.10211823549843689,-0.0021323633462910986
v2x_clphy,0.7926672858573611,0.38069778881085353,0.10675302050640544,-0.03071923197664836
v2xpe_exlsocgr,-0.6530998717133155,-0.5741270414322727,-0.18490286119967675,-0.08955601210003433
v2xpe_exlgender,-0.5612578681590503,-0.6008752408664269,-0.3314308990731986,-0.09832259967675272
v2xpe_exlecon,-0.5167058691428972,-0.7339327510108494,-0.1781231611555891,-0.03470292260083119
